subscriber,channel_avg_views,channel_avg_like_rate,title_length,tag_density,desc_length,desc_keyword_count,title_upper_ratio,desc_has_youtube_link,desc_has_timestamp,channel_has_digit,channel_has_special,title_ends_with_punct,category_1,category_2,category_10,category_15,category_17,category_19,category_20,category_22,category_23,category_24,category_25,category_26,category_27,category_28,category_29,period_Afternoon,period_Dawn,period_Evening,period_Morning,log_views
1676098,1169129.2727272727,0.0133024059927544,71,0.1971830985915492,153,0,0.1690140845070422,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,14.218456495625425
620050,194930.0,0.0331708818550248,48,0.4166666666666667,559,1,0.1666666666666666,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.180400928773716
1544,36859.0,0.0006239995659133,98,0.0918367346938775,1413,0,0.1632653061224489,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,10.514882231223813
282774,121410.15384615384,0.0063501046036275,27,0.6666666666666666,754,2,0.1481481481481481,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.514134733510213
1400125,686278.2,0.0349622115194796,29,0.3448275862068966,289,1,0.1379310344827586,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,12.653223375125444
2397437,433883.75,0.0311770544552826,40,0.65,605,1,0.15,1,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,12.613542409638825
328272,332453.0,0.0100819334151768,94,0.3617021276595745,2257,3,0.1595744680851064,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,10.427091188661334
27221198,75112813.0,0.0263178190259353,38,0.1578947368421052,271,0,0.131578947368421,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,13.652403220094124
4756225,17164566.75,0.0314293351917334,34,0.1176470588235294,876,1,0.1764705882352941,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,15.456401399977695
85555,256760.0,0.0030456457392117,58,0.1724137931034483,444,0,0.1551724137931034,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12.455900970105777
9401388,405363.28571428574,0.020945263966988,53,0.1886792452830188,794,2,0.0943396226415094,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,13.352152001238391
4169227,3090492.888888889,0.0471987066947896,45,0.5555555555555556,665,1,0.1777777777777777,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,14.924688169857122
8499294,7057826.0,0.0406009817614043,39,0.6923076923076923,1309,0,0.1538461538461538,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15.17998943234495
1461545,437908.68,0.0197487130328995,68,0.1176470588235294,472,2,0.1323529411764706,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,9.929642510012979
135706,8041928.0,0.0075148645946593,45,0.2,823,1,0.1555555555555555,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,15.900179537750795
28676937,28361232.0,0.0342655764393594,43,0.2325581395348837,1304,1,0.1395348837209302,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.587113469483047
314532,62753.8,0.0416764622700488,54,0.2222222222222222,2054,3,0.1111111111111111,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.988153035071614
874240,137292.0,0.0469763676282582,56,0.5,489,0,0.2857142857142857,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,11.323144153262419
116972,56171.05882352941,0.0320706089846149,74,0.1621621621621621,1663,4,0.1486486486486486,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,10.719670615033905
1502923,403887.0,0.0514500342917697,51,0.2156862745098039,1012,1,0.1568627450980392,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.908892890785806
348382,140388.66666666666,0.0059456829499838,61,0.5245901639344263,1434,0,0.2131147540983606,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.533990540737104
73242,237307.0,0.007989650537068,64,0.125,109,0,0.03125,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.377114154455683
9076056,2954882.0,0.0177736369844887,66,0.106060606060606,182,0,0.1363636363636363,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.898969614129847
13608050,1542220.923076923,0.0288811929821356,45,0.5777777777777777,1300,1,0.1555555555555555,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,14.21932096447521
1409,172587.0,0.0021959939045235,76,0.1710526315789473,122,0,0.131578947368421,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,12.058662530301403
1449988,422250.5,0.0519375363862482,33,0.3636363636363636,1000,1,0.7878787878787878,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,13.17155536559358
183889,218097.5,0.0413974028451692,33,0.3939393939393939,307,0,0.9090909090909092,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,12.874573587424461
1066078,615001.6428571428,0.0273317516231655,80,0.35,488,3,0.15,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,11.503077128915415
3346641,153798.22222222222,0.0080684034330117,98,0.1122448979591836,113,0,0.0510204081632653,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,9.31982238259318
1890090,122772.0,0.0318639429185807,26,0.1923076923076923,788,2,0.7307692307692307,1,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,11.71809240081345
1360210,1108721.5,0.0287157929510716,42,0.5238095238095238,649,0,0.1428571428571428,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,12.40251486813395
