"video_id","is_weekend","publish_hour","views","likes","comment_count","tag_appeared_in_title_count","tag_appeared_in_title_f","title_length","has_question","has_exclamation","tags_count","subscriber","interaction_rate","is_hot","is_weekend_f","has_question_f","has_exclamation_f","is_hot_f"
"osc1DbNpNXE",0,5,271722,3642,162,4,"TRUE",39,0,0,7,553978,0.0139996025349438,0,"0","0","0","0"
"HaRpFCEWLE0",0,15,95044,2451,157,6,"TRUE",42,0,0,9,658161,0.0274399225621817,0,"0","0","0","0"
"9fe3ECuYWlI",0,1,225107,5466,999,3,"TRUE",41,0,0,37,14889874,0.0287196755320803,0,"0","0","0","0"
"K7NE3nfdkgg",0,0,339306,528,50,0,"FALSE",17,0,0,2,14,0.00170347709736934,0,"0","0","0","0"
"eep4_0JaaG8",0,11,296476,8961,1466,0,"FALSE",45,1,1,23,658657,0.0351697945196238,0,"0","1","1","0"
"7NcVNt7zQJM",0,5,149801,5575,320,6,"TRUE",40,0,0,10,1641737,0.0393522072616338,0,"0","0","0","0"
"vOKOamXsXYE",0,8,623149,32256,1677,3,"TRUE",39,0,0,15,2475056,0.0544540711771984,0,"0","0","0","0"
"cIriwVhRPVA",0,16,619936,26119,1412,2,"TRUE",35,0,0,5,198433,0.0444094229081712,0,"0","0","0","0"
"SYVSeH6sYYU",0,0,76802,1837,85,1,"TRUE",21,0,0,3,8707071,0.025025389963803,0,"0","0","0","0"
"UKKYt6fWob8",0,12,6084,203,200,0,"FALSE",20,0,0,6,3095131,0.0662393162393162,1,"0","0","0","1"
"EA5Tn5Gw_8s",0,16,25145,1367,135,1,"TRUE",25,0,0,4,72681,0.0597335454364685,0,"0","0","0","0"
"jSh3FFKFH_g",0,5,271277,23447,2590,4,"TRUE",47,0,0,27,214785,0.0959793863836595,1,"0","0","0","1"
"VhexfxLPgTE",0,7,395473,11929,1796,0,"FALSE",18,0,1,12,2069402,0.0347052769721321,0,"0","0","1","0"
"J2kNt-PHayo",0,17,128997,4215,345,5,"TRUE",35,0,0,22,1466098,0.0353496592944022,0,"0","0","0","0"
"f2xPEy4PrmA",0,18,41025,151,10,0,"FALSE",30,0,0,3,100966,0.00392443631931749,0,"0","0","0","0"
"51tc6o12uqA",0,13,162834,5691,680,1,"TRUE",53,0,0,41,1050076,0.0391257354115234,0,"0","0","0","0"
"oeAEuiovVbg",0,20,1104595,21830,1287,4,"TRUE",68,0,0,31,394290,0.0209280324462812,0,"0","0","0","0"
"gvZW4Lh-8Mc",0,14,106731,190,32,0,"FALSE",40,0,1,0,28,0.00207999550271243,0,"0","0","1","0"
"mGAdg2lB6nQ",0,18,131240,4082,1099,3,"TRUE",56,0,0,21,2282860,0.0394772935080768,0,"0","0","0","0"
"be3BHwNi58A",0,16,61931,477,362,6,"TRUE",66,0,0,14,2119249,0.0135473349372689,0,"0","0","0","0"
"qLoqdxFqT9A",0,23,12515,30,4,1,"TRUE",39,0,0,14,270,0.00271673991210547,0,"0","0","0","0"
"eu6hJx1L9IU",0,19,6320,90,15,3,"TRUE",65,0,0,3,54473,0.0166139240506329,0,"0","0","0","0"
"oX4YCoO6tK4",1,18,2392206,66588,13576,4,"TRUE",41,0,1,30,10719785,0.0335104919894023,0,"1","0","1","0"
"DQQN_79QrDY",1,18,2787618,25712,2689,5,"TRUE",46,0,0,33,1625338,0.0101882682634421,0,"1","0","0","0"
"H9wMNxbQM-4",1,5,2798497,33819,6687,1,"TRUE",37,0,0,40,5292034,0.014474198114202,0,"1","0","0","0"
"GhcqN2FDAnA",1,15,443202,6943,5547,0,"FALSE",29,0,0,5,3095131,0.0281812807703936,0,"1","0","0","0"
"8cpqLRC7T80",1,19,631310,35839,2310,2,"TRUE",57,0,1,27,2199425,0.060428315724446,1,"1","0","1","1"
"2iC9IGKIP50",1,8,264632,4901,487,7,"TRUE",64,0,0,39,11259007,0.0203603494664289,0,"1","0","0","0"
"hBvcngHRTFg",0,13,1666296,49224,2855,5,"TRUE",71,0,0,24,640271,0.0312543509676552,0,"0","0","0","0"
"h8hMvvP_Bdo",0,19,1122148,25825,961,3,"TRUE",19,0,0,24,14889874,0.0238702916192873,0,"0","0","0","0"
"QF031DwMffQ",0,9,1516682,30827,4451,0,"FALSE",47,0,0,9,151008,0.0232599846243313,0,"0","0","0","0"
"SGKcrxK9hsg",1,19,50053,4035,729,1,"TRUE",32,0,0,11,3956361,0.0951791101432482,1,"1","0","0","1"
"Mqaobr6w6_I",0,14,554069,20165,794,5,"TRUE",30,0,0,36,3808198,0.0378274186067078,0,"0","0","0","0"
"chFKDaZns6w",0,22,331575,24324,7014,5,"TRUE",67,0,0,11,1885749,0.0945125537208776,1,"0","0","0","1"
"-py2awmME8s",1,17,430232,15929,1128,2,"TRUE",46,0,0,13,2516341,0.0396460514327154,0,"1","0","0","0"
"beUCw1VH11U",1,18,75279,3424,108,3,"TRUE",29,0,0,14,1470844,0.0469187954143918,0,"1","0","0","0"
"ElmsIGT85tI",0,18,1904633,63609,3806,0,"FALSE",21,0,0,1,10530112,0.0353952703749226,0,"0","0","0","0"
"B9127l-xpdE",1,14,153186,1395,185,4,"TRUE",60,0,0,27,8707071,0.0103142584831512,0,"1","0","0","0"
"hms9nX3RUdk",1,18,71715,4746,355,3,"TRUE",32,0,0,8,313662,0.0711287736177927,1,"1","0","0","1"
"QUDYmBTrudU",0,18,105681,8012,477,2,"TRUE",34,0,0,12,633038,0.0803266433890671,1,"0","0","0","1"
"uUEdjGTIB9Y",1,18,51141,2732,256,3,"TRUE",42,0,1,17,274004,0.0584267026456268,0,"1","0","1","0"
"WXyLdg4mJxo",0,8,2213820,100843,2889,5,"TRUE",20,0,0,16,2352854,0.0468565646710211,0,"0","0","0","0"
"Bju5Enu--80",0,19,154250,15228,818,0,"FALSE",23,1,0,7,1165294,0.104025931928687,1,"0","1","0","1"
"uLY6Nypmk1A",0,5,132872,6937,789,2,"TRUE",36,0,0,13,641072,0.058146185802878,0,"0","0","0","0"
"lyavSkF30Rs",0,19,57465,456,176,2,"TRUE",62,0,0,19,2018112,0.0109979987818672,0,"0","0","0","0"
"k9oMv0JzCn8",0,23,37022,391,54,7,"TRUE",67,0,0,18,27746,0.012019880071309,0,"0","0","0","0"
"8bKKVuZA0ys",0,16,27945,736,97,2,"TRUE",58,0,0,38,890739,0.0298085525138665,0,"0","0","0","0"
"RxzZ_OXQApM",0,20,3411,41,8,3,"TRUE",17,0,0,15,211,0.0143652887716212,0,"0","0","0","0"
"CVPp5FtQN8E",0,0,2082,20,5,2,"TRUE",25,0,0,8,1576,0.0120076849183477,0,"0","0","0","0"
"BGtsTNCMrQI",1,19,1375,2,3,1,"TRUE",50,0,0,6,114,0.00363636363636364,0,"1","0","0","0"
"p7E8g-Ity0k",0,17,3912,67,3,1,"TRUE",45,0,0,7,645196,0.0178936605316973,0,"0","0","0","0"
"_9YMpuLDnwo",1,8,54155921,378111,24679,0,"FALSE",48,0,0,45,14960134,0.0074375985591677,0,"1","0","0","0"
"Z2Y8jGrkrDc",1,14,489051,15348,975,2,"TRUE",26,0,0,15,335046,0.0333768870731273,0,"1","0","0","0"
"sW5HaEsnuMI",1,19,1367551,28986,2572,4,"TRUE",36,0,0,15,10474796,0.023076287465696,0,"1","0","0","0"
"bXYkU5u5pzg",1,2,283313,1107,317,6,"TRUE",95,0,0,30,446487,0.00502624305979606,0,"1","0","0","0"
"spuXN0ccRQ8",1,15,901908,19154,3593,5,"TRUE",34,0,0,39,9133669,0.0252209759753766,0,"1","0","0","0"
"xejjA2AFO5I",1,11,433758,5407,724,4,"TRUE",58,0,0,33,3181914,0.0141346096210329,0,"1","0","0","0"
"iMg9ibfcBnM",1,14,197963,5260,1171,5,"TRUE",32,0,0,11,1568812,0.0324858685713997,0,"1","0","0","0"
"sxxJug2Ob_A",1,18,4184160,175935,11482,7,"TRUE",31,0,0,22,8499294,0.0447920251615617,0,"1","0","0","0"
"AWtpYfjylCo",1,16,346931,5995,630,4,"TRUE",45,0,0,36,7645824,0.0190960162107163,0,"1","0","0","0"
"Z48OG9917mg",1,17,591389,21427,1009,0,"FALSE",42,0,0,22,12641442,0.0379378040511406,0,"1","0","0","0"
"an6dsm86Kn4",1,14,583281,15564,3938,10,"TRUE",100,0,0,30,1443945,0.0334349995971067,0,"1","0","0","0"
"gkvhlo4a5iQ",1,15,685944,21871,2825,3,"TRUE",30,1,0,24,1904153,0.0360029390154298,0,"1","1","0","0"
"oFBuCp19L7M",1,8,1127924,18949,1648,10,"TRUE",93,0,0,34,11259007,0.018260982122909,0,"1","0","0","0"
"EYLUUm9SLW0",1,21,194294,8979,1090,1,"TRUE",54,0,1,4,4652602,0.0518235251731911,0,"1","0","1","0"
"-rZkKvRZ0UE",1,20,159575,1767,225,0,"FALSE",12,0,1,5,249771,0.012483158389472,0,"1","0","1","0"
"MQSRmx9zS64",1,19,79736,1631,224,2,"TRUE",57,0,0,26,2378320,0.0232642720979231,0,"1","0","0","0"
"olOdCkYIsrA",1,22,218006,5864,1052,2,"TRUE",18,0,0,17,1420833,0.0317238975074081,0,"1","0","0","0"
"uFUHjJQIC_4",1,19,232142,6604,500,6,"TRUE",67,0,0,48,6928375,0.0306019591456953,0,"1","0","0","0"
"aSO1gltbg0o",1,20,257584,1131,75,8,"TRUE",86,0,0,39,0,0.00468196782408845,0,"1","0","0","0"
"8IEvxQKzLyI",1,18,67802,3852,334,11,"TRUE",63,0,0,38,571111,0.0617385917819533,1,"1","0","0","1"
"PWrsHhAuVZg",1,17,30469,1024,586,5,"TRUE",97,0,0,15,116972,0.0528405920771932,0,"1","0","0","0"
"SsmgtO1zAhg",0,17,85372,2322,350,1,"TRUE",46,1,0,27,2158902,0.031298317949679,0,"0","1","0","0"
"cNrfQm9yG5o",0,10,41714,2096,450,2,"TRUE",11,0,0,4,10263,0.0610346646209906,1,"0","0","0","1"
"wG7byaLSmFU",0,14,256786,10439,1692,2,"TRUE",30,1,0,32,2098070,0.0472416720537724,0,"0","1","0","0"
"-gfGtIHfU7A",0,15,277330,8878,527,3,"TRUE",51,0,0,35,453620,0.0339126672195579,0,"0","0","0","0"
"1I0cUTXwr-k",0,18,103478,4689,1041,2,"TRUE",47,0,0,16,215432,0.0553740891783761,0,"0","0","0","0"
"GxLYCKB8v2w",0,5,21513,770,63,2,"TRUE",48,0,0,5,32907,0.0387207734857993,0,"0","0","0","0"
"GDUncuEErzQ",0,17,7753,29,3,2,"TRUE",36,0,0,7,32678,0.00412743454146782,0,"0","0","0","0"
"J3IbiFCR-Xs",0,1,89311,599,52,0,"FALSE",29,0,0,17,32,0.00728913571676501,0,"0","0","0","0"
"5MtBgDVPtx0",0,16,1300011,94279,6958,2,"TRUE",19,0,0,17,4563294,0.0778739564511377,1,"0","0","0","1"
"Tn5OBFgiExQ",0,23,52164,218,31,2,"TRUE",63,0,0,5,355,0.00477340694731999,0,"0","0","0","0"
"JdrdNQfZoqs",0,16,4767,90,4,0,"FALSE",72,0,0,7,53,0.0197189007761695,0,"0","0","0","0"
"SxAp27sFaIM",0,22,10403477,261095,33906,9,"TRUE",81,0,0,21,3656237,0.0283560005948011,0,"0","0","0","0"
"266EI7hdjFs",0,0,7080039,63371,10668,2,"TRUE",60,0,0,22,1446544,0.0104574282712284,0,"0","0","0","0"
"c3BTGJgd8Wo",0,13,758052,8174,3337,2,"TRUE",56,0,0,14,1858919,0.0151849741178705,0,"0","0","0","0"
"me5ifeBFaFo",0,19,5952094,96880,8159,2,"TRUE",19,0,0,43,247252,0.0176474027459916,0,"0","0","0","0"
"-C5q3oir8gA",0,11,834586,17702,1680,5,"TRUE",23,1,0,28,13186408,0.0232234904491568,0,"0","1","0","0"
"X6iJ0hPpGec",0,12,1332449,49673,5017,2,"TRUE",53,0,0,8,790164,0.0410447229124717,0,"0","0","0","0"
"xl3HhY2BTuU",0,4,1270477,12058,6865,6,"TRUE",49,0,0,45,3212413,0.0148944058019153,0,"0","0","0","0"
"sjN-NGsRg9g",0,15,2302545,129661,8213,4,"TRUE",44,0,0,13,11325240,0.0598789600203253,1,"0","0","0","1"
"1l26UFQ06eQ",1,5,4440269,57183,13342,1,"TRUE",21,0,0,32,5292034,0.0158830467253223,0,"1","0","0","0"
"w4lcP5ZA4wg",0,1,1240566,31501,3433,2,"TRUE",65,0,0,30,1062478,0.0281597270923111,0,"0","0","0","0"
"92HCNclQOYo",0,11,366408,8569,434,2,"TRUE",35,0,0,7,1471450,0.0245709700661558,0,"0","0","0","0"
"a-4_6bThk2E",0,14,666861,16006,3686,0,"FALSE",33,0,0,20,3808198,0.0295293921821789,0,"0","0","0","0"
"hRAGY4BaFQs",0,20,198195,636,409,4,"TRUE",74,0,0,23,2786000,0.00527258508035016,0,"0","0","0","0"
"48qcnpCWBq0",0,11,2286134,153706,9905,2,"TRUE",41,0,0,4,1759496,0.0715666710700248,1,"0","0","0","1"
"6wHVgiM0R54",0,14,315694,13689,2778,2,"TRUE",44,1,0,34,2098070,0.0521612700906574,0,"0","1","0","0"
"YF6xzqOfCD8",0,16,251174,16962,634,2,"TRUE",42,0,0,15,1096490,0.0700550216184796,1,"0","0","0","1"
"JR4oPuV3CWg",1,17,239226,6932,454,1,"TRUE",37,0,0,28,2158902,0.0308745704898297,0,"1","0","0","0"
