threshold,precision,recall,f1,accuracy,balanced_accuracy,youden
0.34,0.8436213991769548,0.984,0.9084194977843427,0.9008,0.9008,0.8016
0.35000000000000003,0.8448572411420708,0.9824,0.9084520066580358,0.901,0.901,0.802
0.36,0.8459682977257064,0.982,0.9089226212513883,0.9016,0.9016,0.8032
0.37,0.8480968858131488,0.9804,0.9094619666048237,0.9024,0.9024000000000001,0.8048000000000001
0.38,0.8521739130434782,0.98,0.9116279069767442,0.905,0.905,0.8099999999999999
0.39,0.8552953512757777,0.9788,0.9128893863085246,0.9066,0.9066000000000001,0.8132
0.4,0.855890603085554,0.9764,0.9121823617339312,0.906,0.906,0.812
0.41000000000000003,0.8579985905567301,0.974,0.9123267141251405,0.9064,0.9064,0.8128
0.42,0.8595684471170852,0.972,0.9123333959076403,0.9066,0.9066,0.8131999999999999
0.43,0.8612593383137673,0.9684,0.9116927132366786,0.9062,0.9062,0.8124
0.44,0.8634739099356683,0.9664,0.9120422801057002,0.9068,0.9068,0.8136
0.45,0.8648745519713261,0.9652,0.9122873345935728,0.9072,0.9072,0.8143999999999999
0.46,0.8668585822238215,0.9636,0.912672854707331,0.9078,0.9077999999999999,0.8156
0.47000000000000003,0.8684020245842372,0.9608,0.9122673756171668,0.9076,0.9076,0.8152
0.48,0.8699600435888122,0.958,0.9118598895869027,0.9074,0.9074,0.8148
0.49,0.8728005865102639,0.9524,0.9108645753634277,0.9068,0.9068,0.8136
0.5,0.8758314855875832,0.948,0.9104878985785632,0.9068,0.9068,0.8136
0.51,0.8792270531400966,0.9464,0.9115777306877287,0.9082,0.9082,0.8164
0.52,0.8828154249344815,0.9432,0.9120092825372268,0.909,0.909,0.8180000000000001
0.53,0.8856603773584906,0.9388,0.9114563106796116,0.9088,0.9088,0.8176
0.54,0.8883809523809524,0.9328,0.9100487804878049,0.9078,0.9077999999999999,0.8156
0.55,0.8911119661408234,0.9264,0.9084134143949794,0.9066,0.9066000000000001,0.8132
0.56,0.8941450174486235,0.9224,0.9080527662925773,0.9066,0.9066000000000001,0.8132
0.5700000000000001,0.897265625,0.9188,0.9079051383399209,0.9068,0.9068,0.8136
0.58,0.8988985051140834,0.914,0.9063863546211821,0.9056,0.9056,0.8112
0.59,0.9015482334259627,0.9084,0.904961147638972,0.9046,0.9046000000000001,0.8092
